country,year,child_mortality,gdp_per_capita_usd,health_exp_pc_usd,life_expectancy_years,urban_population_pct
BRA,2000.0,34.5,3766.54811466032,313.92590332,69.584,81.192
BRA,2001.0,32.2,3176.28935747524,271.56121826,69.98,81.553
BRA,2002.0,30.1,2855.94018885769,248.37753296,70.396,81.88
BRA,2003.0,28.1,3090.6070097455,253.08970642,70.884,82.203
BRA,2004.0,26.3,3663.823188064,297.68243408,71.361,82.521
BRA,2005.0,24.6,4827.78173074714,387.93121338,71.832,82.834
BRA,2006.0,23.1,5934.14470924968,489.53884888,72.296,83.143
BRA,2007.0,21.7,7409.69130673473,607.73022461,72.73,83.448
BRA,2008.0,20.5,8908.33176538648,713.67193604,73.111,83.749
BRA,2009.0,19.5,8678.6592244676,728.55639648,73.457,84.044
BRA,2010.0,18.6,11403.2821278747,906.0098877,73.779,84.335
BRA,2011.0,17.9,13396.6243562986,1043.3548584,74.047,84.631
BRA,2012.0,17.2,12521.7213519966,968.7277832,74.335,84.923
BRA,2013.0,16.7,12458.8912138813,993.79608154,74.609,85.209
BRA,2014.0,16.3,12274.9939689363,1030.66271973,74.823,85.492
BRA,2015.0,16.0,8936.19661712113,796.15252686,75.106,85.77
BRA,2016.0,16.8,8836.28652735657,810.20037842,75.081,86.042
BRA,2017.0,15.4,10080.5092819305,954.75012207,75.383,86.309
BRA,2018.0,15.2,9300.66164923219,880.28430176,75.633,86.569
BRA,2019.0,15.0,9029.83326681073,868.17248535,75.809,86.824
BRA,2020.0,14.9,7074.19378337644,680.76843262,74.506,87.073
BRA,2021.0,14.7,7972.5366498646,768.27075195,73.038,87.317
BRA,2022.0,14.6,9281.33334441234,848.57122803,74.872,87.555
BRA,2023.0,14.4,10377.5892792557,,75.848,87.788
CHN,2000.0,36.7,969.199513696287,42.80797577,72.288,35.877
CHN,2001.0,34.2,1065.40597574519,44.36042023,72.675,37.093
CHN,2002.0,31.5,1163.55957673426,49.92394638,73.034,38.425
CHN,2003.0,28.9,1306.97245408557,56.54468155,73.385,39.776
CHN,2004.0,26.4,1530.92726215723,64.28150177,73.727,41.144
CHN,2005.0,24.0,1777.64496828464,73.00266266,74.085,42.522
CHN,2006.0,21.9,2129.25696999613,82.48256683,74.404,43.868
CHN,2007.0,20.1,2734.72709877693,98.5569458,74.789,45.199
CHN,2008.0,18.5,3523.44302065213,133.83999634,74.833,46.539
CHN,2009.0,17.1,3898.24459158811,164.87619019,75.317,47.88
CHN,2010.0,15.8,4629.24551710077,188.87156677,75.668,49.226
CHN,2011.0,14.6,5703.76027973346,239.19824219,75.889,50.511
CHN,2012.0,13.5,6405.0574241349,284.69760132,76.2,51.765
CHN,2013.0,12.5,7147.03518622344,329.08572388,76.452,53.013
CHN,2014.0,11.5,7781.06597484974,362.28695679,76.714,54.259
CHN,2015.0,10.7,8175.33285077393,393.09768677,76.975,55.5
CHN,2016.0,9.9,8254.86859320357,398.17489624,77.214,56.736
CHN,2017.0,9.2,8979.67652709856,439.94006348,77.235,57.96
CHN,2018.0,8.6,10085.6638148819,504.10980225,77.709,59.152
CHN,2019.0,8.0,10342.9009524335,538.99157715,77.94,60.308
CHN,2020.0,7.5,10627.4637989619,582.95092773,78.019,61.428
CHN,2021.0,7.0,12887.4357242941,670.25897217,78.117,62.512
CHN,2022.0,6.6,12970.6056414327,672.45159912,78.202,63.56
CHN,2023.0,6.2,12951.1782397043,,77.953,64.57
DEU,2000.0,5.4,23925.8559901991,2344.41088867,77.9268292682927,74.965
DEU,2001.0,5.2,23878.3641471651,2346.66918945,78.3292682926829,75.17
DEU,2002.0,5.1,25486.5942008748,2567.50292969,78.2292682926829,75.374
DEU,2003.0,5.0,30711.1022511331,3152.79418945,78.3804878048781,75.577
DEU,2004.0,4.8,34566.7359143735,3459.82495117,78.6804878048781,75.779
DEU,2005.0,4.7,35084.4363546269,3558.21337891,78.9317073170732,75.98
DEU,2006.0,4.6,36980.3349948954,3698.04370117,79.1317073170732,76.179
DEU,2007.0,4.5,42350.9217211489,4182.91601563,79.5341463414634,76.378
DEU,2008.0,4.4,46386.3295924799,4669.76025391,79.7365853658537,76.575
DEU,2009.0,4.3,42487.2137101496,4674.91943359,79.8365853658537,76.771
DEU,2010.0,4.2,42409.9356994694,4611.421875,79.9878048780488,76.966
DEU,2011.0,4.1,47646.582043143,5037.49169922,80.4365853658537,77.16
DEU,2012.0,4.0,44735.5882319701,4765.67871094,80.5390243902439,77.17
DEU,2013.0,4.0,47220.0102098851,5100.15234375,80.490243902439,77.18
DEU,2014.0,4.0,48971.0824722599,5309.15478516,81.090243902439,77.19
DEU,2015.0,3.9,41911.0109851054,4627.27587891,80.6414634146341,77.2
DEU,2016.0,3.9,42961.0356905775,4746.77539063,80.990243902439,77.224
DEU,2017.0,3.8,45526.5999576533,5065.43164063,80.9926829268293,77.261
DEU,2018.0,3.8,48874.8595028454,5507.67675781,80.8926829268293,77.312
DEU,2019.0,3.7,47623.8656074829,5488.53955078,81.2926829268293,77.376
DEU,2020.0,3.7,47379.765194548,5932.20019531,81.0414634146342,77.453
DEU,2021.0,3.7,52265.6541620571,6638.20800781,80.790243902439,77.544
DEU,2022.0,3.7,49686.1154582583,6182.34375,80.6080487804878,77.648
DEU,2023.0,3.7,53940.4073447462,6232.59130859,80.5414634146342,77.765
FRA,2000.0,5.4,22340.5939516217,2161.85302734,79.0560975609756,75.871
FRA,2001.0,5.2,22331.7948343036,2192.71557617,79.1585365853659,76.127
FRA,2002.0,5.1,24144.5727019529,2449.75830078,79.2609756097561,76.38
FRA,2003.0,4.9,29479.5222101175,3006.3059082,79.1146341463415,76.632
FRA,2004.0,4.8,33644.9282220364,3458.62744141,80.1634146341463,76.883
FRA,2005.0,4.6,34696.3718316971,3575.02514648,80.1634146341463,77.13
FRA,2006.0,4.5,36431.5658906555,3811.55175781,80.8121951219512,77.377
FRA,2007.0,4.4,41486.1907828787,4312.31054688,81.1121951219512,77.621
FRA,2008.0,4.4,45464.8181385158,4807.37451172,81.2146341463415,77.868
FRA,2009.0,4.3,41728.0884164132,4737.578125,81.4146341463415,78.117
FRA,2010.0,4.2,40694.8211697025,4592.38330078,81.6634146341463,78.369
FRA,2011.0,4.2,43929.7840873812,4931.87792969,82.1146341463415,78.622
FRA,2012.0,4.1,40863.5814412333,4644.59570313,81.9682926829268,78.878
FRA,2013.0,4.1,42669.1795111893,4884.71582031,82.219512195122,79.135
FRA,2014.0,4.1,43148.0459288416,4974.74658203,82.719512195122,79.394
FRA,2015.0,4.2,36702.4323733379,4198.72900391,82.3219512195122,79.655
FRA,2016.0,4.2,37024.2157133669,4264.14599609,82.5731707317073,79.917
FRA,2017.0,4.2,38687.1626407164,4416.79199219,82.5756097560976,80.18
FRA,2018.0,4.2,41418.1766484844,4667.95751953,82.6756097560976,80.444
FRA,2019.0,4.2,40408.2848574751,4508.76074219,82.8268292682927,80.709
