country,indicator,year,value
BRA,child_mortality,2000.0,34.5
BRA,child_mortality,2001.0,32.2
BRA,child_mortality,2002.0,30.1
BRA,child_mortality,2003.0,28.1
BRA,child_mortality,2004.0,26.3
BRA,child_mortality,2005.0,24.6
BRA,child_mortality,2006.0,23.1
BRA,child_mortality,2007.0,21.7
BRA,child_mortality,2008.0,20.5
BRA,child_mortality,2009.0,19.5
BRA,child_mortality,2010.0,18.6
BRA,child_mortality,2011.0,17.9
BRA,child_mortality,2012.0,17.2
BRA,child_mortality,2013.0,16.7
BRA,child_mortality,2014.0,16.3
BRA,child_mortality,2015.0,16.0
BRA,child_mortality,2016.0,16.8
BRA,child_mortality,2017.0,15.4
BRA,child_mortality,2018.0,15.2
BRA,child_mortality,2019.0,15.0
BRA,child_mortality,2020.0,14.9
BRA,child_mortality,2021.0,14.7
BRA,child_mortality,2022.0,14.6
BRA,child_mortality,2023.0,14.4
CHN,child_mortality,2000.0,36.7
CHN,child_mortality,2001.0,34.2
CHN,child_mortality,2002.0,31.5
CHN,child_mortality,2003.0,28.9
CHN,child_mortality,2004.0,26.4
CHN,child_mortality,2005.0,24.0
CHN,child_mortality,2006.0,21.9
CHN,child_mortality,2007.0,20.1
CHN,child_mortality,2008.0,18.5
CHN,child_mortality,2009.0,17.1
CHN,child_mortality,2010.0,15.8
CHN,child_mortality,2011.0,14.6
CHN,child_mortality,2012.0,13.5
CHN,child_mortality,2013.0,12.5
CHN,child_mortality,2014.0,11.5
CHN,child_mortality,2015.0,10.7
CHN,child_mortality,2016.0,9.9
CHN,child_mortality,2017.0,9.2
CHN,child_mortality,2018.0,8.6
CHN,child_mortality,2019.0,8.0
CHN,child_mortality,2020.0,7.5
CHN,child_mortality,2021.0,7.0
CHN,child_mortality,2022.0,6.6
CHN,child_mortality,2023.0,6.2
DEU,child_mortality,2000.0,5.4
DEU,child_mortality,2001.0,5.2
DEU,child_mortality,2002.0,5.1
DEU,child_mortality,2003.0,5.0
DEU,child_mortality,2004.0,4.8
DEU,child_mortality,2005.0,4.7
DEU,child_mortality,2006.0,4.6
DEU,child_mortality,2007.0,4.5
DEU,child_mortality,2008.0,4.4
DEU,child_mortality,2009.0,4.3
DEU,child_mortality,2010.0,4.2
DEU,child_mortality,2011.0,4.1
DEU,child_mortality,2012.0,4.0
DEU,child_mortality,2013.0,4.0
DEU,child_mortality,2014.0,4.0
DEU,child_mortality,2015.0,3.9
DEU,child_mortality,2016.0,3.9
DEU,child_mortality,2017.0,3.8
DEU,child_mortality,2018.0,3.8
DEU,child_mortality,2019.0,3.7
DEU,child_mortality,2020.0,3.7
DEU,child_mortality,2021.0,3.7
DEU,child_mortality,2022.0,3.7
DEU,child_mortality,2023.0,3.7
FRA,child_mortality,2000.0,5.4
FRA,child_mortality,2001.0,5.2
FRA,child_mortality,2002.0,5.1
FRA,child_mortality,2003.0,4.9
FRA,child_mortality,2004.0,4.8
FRA,child_mortality,2005.0,4.6
