year,indicator,BRA,CHN,DEU,FRA,GBR,IND,ITA,JPN,NGA,USA
2000.0,child_mortality,34.5,36.7,5.4,5.4,6.5,91.6,5.6,4.5,182.3,8.4
2000.0,gdp_per_capita_usd,3766.54811466032,969.199513696287,23925.8559901991,22340.5939516217,28280.926786099,442.750218937263,20190.0035636084,39169.3595701504,547.318298903379,36329.9702595751
2000.0,health_exp_pc_usd,313.92590332,42.80797577,2344.41088867,2161.85302734,2027.64416504,18.47883415,1524.23962402,2751.38452148,17.15887642,4548.5546875
2000.0,life_expectancy_years,69.584,72.288,77.9268292682927,79.0560975609756,77.7414634146342,62.749,79.7780487804878,81.0760975609756,47.143,76.6365853658537
2000.0,urban_population_pct,81.192,35.877,74.965,75.871,78.651,27.667,67.222,78.649,34.84,79.057
2001.0,child_mortality,32.2,34.2,5.2,5.2,6.4,88.0,5.3,4.3,176.8,8.3
2001.0,gdp_per_capita_usd,3176.28935747524,1065.40597574519,23878.3641471651,22331.7948343036,27906.5695029641,450.357900514128,20570.4385917862,34406.1824638092,566.428231812933,37133.6203973517
2001.0,health_exp_pc_usd,271.56121826,44.36042023,2346.66918945,2192.71557617,2083.99023438,19.74444199,1586.67272949,2488.65185547,17.96053314,4901.67529297
2001.0,life_expectancy_years,69.98,72.675,78.3292682926829,79.1585365853659,77.9926829268293,63.158,80.1268292682927,81.4163414634146,47.549,76.8365853658537
2001.0,urban_population_pct,81.553,37.093,75.17,76.127,78.751,27.918,67.282,79.99,35.669,79.234
2002.0,child_mortality,30.1,31.5,5.1,5.1,6.3,84.5,5.1,4.1,171.1,8.2
2002.0,gdp_per_capita_usd,2855.94018885769,1163.55957673426,25486.5942008748,24144.5727019529,30077.741432188,469.149928973927,22451.3964379368,32820.7936433254,712.164852077686,37997.7424300242
2002.0,health_exp_pc_usd,248.37753296,49.92394638,2567.50292969,2449.75830078,2374.82177734,20.15651703,1762.53759766,2412.35131836,17.53752899,5327.93701172
2002.0,life_expectancy_years,70.396,73.034,78.2292682926829,79.2609756097561,78.1439024390244,63.649,80.2292682926829,81.6907317073171,48.02,76.9365853658537
2002.0,urban_population_pct,81.88,38.425,75.374,76.38,79.047,28.244,67.382,81.647,36.508,79.409
2003.0,child_mortality,28.1,28.9,5.0,4.9,6.3,81.1,4.8,4.0,165.4,8.1
2003.0,gdp_per_capita_usd,3090.6070097455,1306.97245408557,30711.1022511331,29479.5222101175,34442.6875402308,544.143133545002,27577.5700319855,35387.0374203599,763.388745367223,39490.3023903176
2003.0,health_exp_pc_usd,253.08970642,56.54468155,3152.79418945,3006.3059082,2789.35131836,21.89380074,2163.02563477,2650.23852539,37.91439438,5732.24365234
2003.0,life_expectancy_years,70.884,73.385,78.3804878048781,79.1146341463415,78.4463414634146,64.086,79.9829268292683,81.76,48.618,77.0365853658537
2003.0,urban_population_pct,82.203,39.776,75.577,76.632,79.339,28.572,67.501,83.196,37.356,79.583
2004.0,child_mortality,26.3,26.4,4.8,4.8,6.1,77.7,4.6,3.9,159.8,8.1
2004.0,gdp_per_capita_usd,3663.823188064,1530.92726215723,34566.7359143735,33644.9282220364,40366.8886650968,624.258826510066,31348.1901841445,38298.9801712303,962.48104194733,41724.6411982614
2004.0,health_exp_pc_usd,297.68243408,64.28150177,3459.82495117,3458.62744141,3377.11694336,24.9240799,2565.62744141,2884.67358398,42.81798172,6071.84423828
2004.0,life_expectancy_years,71.361,73.727,78.6804878048781,80.1634146341463,78.7463414634146,64.484,80.7804878048781,82.030243902439,49.148,77.4878048780488
2004.0,urban_population_pct,82.521,41.144,75.779,76.883,79.629,28.903,67.62,84.64,38.212,79.757
2005.0,child_mortality,24.6,24.0,4.7,4.6,6.0,74.4,4.5,3.7,154.5,8.0
2005.0,gdp_per_capita_usd,4827.78173074714,1777.64496828464,35084.4363546269,34696.3718316971,42104.7884375024,710.488080408949,32062.723833669,37812.8950199948,1211.37703504386,44123.3996470026
2005.0,health_exp_pc_usd,387.93121338,73.00266266,3558.21337891,3575.02514648,3547.28979492,27.49770737,2677.55224609,2892.60473633,52.24337006,6428.60205078
2005.0,life_expectancy_years,71.832,74.085,78.9317073170732,80.1634146341463,79.0487804878049,64.939,80.7829268292683,81.9551219512195,49.538,77.4878048780488
2005.0,urban_population_pct,82.834,42.522,75.98,77.13,79.915,29.235,67.738,85.978,39.074,79.928
